strategy1,strategy2,episodes,truncated_episodes,ego_wins,opp_wins,win_rate,total_steps,avg_steps_per_episode,ego_contacts,opp_contacts,ego_successes,opp_successes,ego_success_rate,opp_success_rate,avg_rally_length,most_used_skill,dominant_fraction,usage_left,usage_left_short,usage_center_safe,usage_right_short,usage_right
nash-p-hard,random,60,91,26,34,0.4333,72232,288.87,502,518,502,518,1.0,1.0,4.37,left,0.2372,260,177,214,193,252
nash-p-hard,left,60,224,38,22,0.6333,142236,125.6,987,974,987,974,1.0,1.0,1.85,left,0.2134,454,412,432,401,428
nash-p-hard,right,60,125,32,28,0.5333,81317,100.28,539,525,539,525,1.0,1.0,1.42,right,0.3668,259,152,170,177,439
nash-p-hard,left_short,60,123,26,34,0.4333,82230,135.5,573,581,573,581,1.0,1.0,2.0,right_short,0.2196,242,239,251,276,249
nash-p-hard,right_short,60,24,24,36,0.4,24698,166.63,139,145,139,145,1.0,1.0,2.38,right,0.337,91,60,44,47,123
nash-p-hard,center_safe,60,534,47,13,0.7833,329435,145.58,2428,2452,2428,2452,1.0,1.0,2.15,left,0.2437,1253,910,926,958,1095
nash-p-br,random,60,85,30,30,0.5,67892,276.53,462,473,462,473,1.0,1.0,4.13,right,0.2627,224,182,181,168,269
nash-p-br,left,60,254,33,27,0.55,160036,122.27,1100,1109,1100,1109,1.0,1.0,1.8,left,0.2314,555,449,474,450,470
nash-p-br,right,60,139,45,15,0.75,89933,103.88,592,588,592,588,1.0,1.0,1.5,right,0.395,244,195,198,158,519
nash-p-br,left_short,60,141,29,31,0.4833,94629,162.15,676,666,676,666,1.0,1.0,2.38,right,0.2193,294,262,285,284,316
nash-p-br,right_short,60,35,21,39,0.35,34901,226.68,213,210,213,210,1.0,1.0,3.2,right,0.3203,122,75,70,81,164
nash-p-br,center_safe,60,353,52,8,0.8667,220747,144.12,1635,1617,1635,1617,1.0,1.0,2.13,right,0.2334,711,668,625,637,804
nash-p-minimax,random,60,131,17,43,0.2833,93051,235.85,633,663,633,663,1.0,1.0,3.5,left,0.4379,610,63,50,66,604
nash-p-minimax,left,60,312,28,32,0.4667,193013,91.88,1311,1291,1311,1291,1.0,1.0,1.32,left,0.5162,1485,170,155,121,946
nash-p-minimax,right,60,181,35,25,0.5833,114044,85.73,747,746,747,746,1.0,1.0,1.22,right,0.6318,461,43,43,66,1052
nash-p-minimax,left_short,60,133,17,43,0.2833,85962,97.7,563,581,563,581,1.0,1.0,1.42,left,0.4638,596,75,83,74,457
nash-p-minimax,right_short,60,43,17,43,0.2833,39905,230.08,254,243,254,243,1.0,1.0,3.25,right,0.5497,222,17,11,13,321
nash-p-minimax,center_safe,60,460,44,16,0.7333,282015,95.25,2075,2077,2075,2077,1.0,1.0,1.35,left,0.4538,1940,194,165,208,1768
nash-p-adaptive,random,60,79,24,36,0.4,62414,245.23,426,433,426,433,1.0,1.0,3.68,right,0.254,184,174,186,161,240
nash-p-adaptive,left,60,151,45,15,0.75,99858,149.3,685,671,685,671,1.0,1.0,2.13,left,0.2302,343,285,276,301,285
nash-p-adaptive,right,60,145,40,20,0.6667,93518,103.63,625,615,625,615,1.0,1.0,1.5,right,0.3916,226,226,193,191,538
nash-p-adaptive,left_short,60,95,31,29,0.5167,70112,213.53,491,493,491,493,1.0,1.0,3.2,right_short,0.21,209,197,219,223,214
nash-p-adaptive,right_short,60,27,24,36,0.4,28192,194.87,170,160,170,160,1.0,1.0,2.78,right,0.3373,77,69,64,65,140
nash-p-adaptive,center_safe,60,0,53,7,0.8833,6951,110.85,23,0,23,0,1.0,,1.38,left_short,0.2169,16,18,16,16,17
ibr,random,60,136,24,36,0.4,94420,208.67,654,656,654,656,1.0,1.0,3.1,left,0.4472,635,52,68,63,602
ibr,left,60,262,29,31,0.4833,163935,107.25,1088,1090,1088,1090,1.0,1.0,1.55,left,0.5619,1376,140,131,118,684
ibr,right,60,113,35,25,0.5833,73864,96.07,492,485,492,485,1.0,1.0,1.38,right,0.574,334,50,37,45,628
ibr,left_short,60,191,23,37,0.3833,120764,97.73,803,818,803,818,1.0,1.0,1.4,left,0.5469,991,91,73,102,555
ibr,right_short,60,30,18,42,0.3,34240,265.67,204,207,204,207,1.0,1.0,3.73,right,0.5887,159,8,12,25,292
ibr,center_safe,60,365,29,31,0.4833,225336,100.6,1664,1644,1664,1644,1.0,1.0,1.37,left,0.4879,1658,186,129,144,1281
ibr-q,random,60,104,15,45,0.25,76301,226.68,525,524,525,524,1.0,1.0,3.35,left,0.4618,526,41,41,46,485
ibr-q,left,60,182,35,25,0.5833,115475,99.58,763,762,763,762,1.0,1.0,1.4,left,0.448,771,97,114,95,644
ibr-q,right,60,230,37,23,0.6167,144486,103.1,978,977,978,977,1.0,1.0,1.5,right,0.522,786,78,82,75,1115
ibr-q,left_short,60,176,21,39,0.35,111637,95.62,734,756,734,756,1.0,1.0,1.37,left,0.489,819,96,89,80,591
ibr-q,right_short,60,55,22,38,0.3667,44860,192.67,287,281,287,281,1.0,1.0,2.72,right,0.5098,264,21,13,27,338
ibr-q,center_safe,60,372,53,7,0.8833,230048,109.13,1700,1680,1700,1680,1.0,1.0,1.47,left,0.4813,1676,157,157,157,1335
nash-p-hard,ibr,60,89,41,19,0.6833,72730,317.17,519,501,519,501,1.0,1.0,4.77,right_short,0.2192,238,199,189,240,229
ibr,nash-p-hard,60,110,20,40,0.3333,80372,234.53,551,551,551,551,1.0,1.0,3.5,left,0.4714,568,53,50,37,497
nash-p-br,ibr,60,83,35,25,0.5833,66490,273.17,463,453,463,453,1.0,1.0,4.08,right,0.2347,222,197,172,172,234
ibr,nash-p-br,60,13,56,4,0.9333,14936,113.93,83,61,83,61,1.0,1.0,1.52,right,0.4571,93,11,2,8,96
nash-p-minimax,ibr,60,114,18,42,0.3,85336,277.27,585,595,585,595,1.0,1.0,4.12,right,0.4541,549,40,55,52,579
ibr,nash-p-minimax,60,139,19,41,0.3167,93369,161.15,617,630,617,630,1.0,1.0,2.35,right,0.5083,519,61,53,47,703
nash-p-adaptive,ibr,60,85,39,21,0.65,68148,280.8,479,466,479,466,1.0,1.0,4.18,right,0.2547,212,208,171,170,260
ibr,nash-p-adaptive,60,4,58,2,0.9667,8901,103.35,42,17,42,17,1.0,1.0,1.42,right,0.5207,42,1,7,8,63
nash-p-hard,ibr-q,60,138,31,29,0.5167,94606,191.77,657,635,657,635,1.0,1.0,2.82,right,0.2842,293,239,242,236,401
ibr-q,nash-p-hard,60,130,20,40,0.3333,94236,265.6,649,657,649,657,1.0,1.0,3.97,left,0.4809,679,63,55,61,554
nash-p-br,ibr-q,60,167,31,29,0.5167,111114,176.9,757,765,757,765,1.0,1.0,2.6,right,0.303,339,281,270,258,499
ibr-q,nash-p-br,60,142,26,34,0.4333,101101,260.02,697,701,697,701,1.0,1.0,3.87,left,0.4852,736,70,63,48,600
nash-p-minimax,ibr-q,60,172,31,29,0.5167,112514,150.23,759,758,759,758,1.0,1.0,2.18,right,0.5427,582,68,52,58,902
ibr-q,nash-p-minimax,60,188,32,28,0.5333,120282,119.7,807,811,807,811,1.0,1.0,1.72,right,0.5152,657,72,55,79,917
nash-p-adaptive,ibr-q,60,103,37,23,0.6167,72872,179.53,486,482,486,482,1.0,1.0,2.65,right,0.3073,187,194,169,196,331
ibr-q,nash-p-adaptive,60,150,27,33,0.45,99913,160.22,677,678,677,678,1.0,1.0,2.32,right,0.5125,568,51,53,49,758
