strategy1,strategy2,n_seeds,seeds,win_rate_mean,win_rate_std,trunc_mean,trunc_std,avg_rally_mean,avg_rally_std,left_usage_total,right_usage_total,left_fraction_mean,left_fraction_std,right_fraction_mean,right_fraction_std,dominant_skill,dominant_fraction_total
nash-p-br,random,1,0,0.52,0.0,649.0,0.0,1.37,0.0,5981,0,1.0,0.0,0.0,0.0,left,1.0
nash-p-br,left,1,0,0.44,0.0,394.0,0.0,1.19,0.0,3638,0,1.0,0.0,0.0,0.0,left,1.0
nash-p-br,right,1,0,0.48,0.0,4718.0,0.0,1.29,0.0,42921,0,1.0,0.0,0.0,0.0,left,1.0
nash-p-hard,random,1,0,0.52,0.0,556.0,0.0,1.35,0.0,5137,0,1.0,0.0,0.0,0.0,left,1.0
nash-p-minimax,random,1,0,0.57,0.0,538.0,0.0,1.38,0.0,4982,0,1.0,0.0,0.0,0.0,left,1.0
nash-p-adaptive,random,1,0,0.64,0.0,391.0,0.0,3.2,0.0,2213,1628,0.5762,0.0,0.4238,0.0,left,0.5762
ibr,random,1,0,0.7,0.0,350.0,0.0,3.46,0.0,2488,1007,0.7119,0.0,0.2881,0.0,left,0.7119
nash-p-hard,left,1,0,0.64,0.0,404.0,0.0,1.16,0.0,3722,0,1.0,0.0,0.0,0.0,left,1.0
nash-p-minimax,left,1,0,0.56,0.0,373.0,0.0,1.22,0.0,3456,0,1.0,0.0,0.0,0.0,left,1.0
nash-p-adaptive,left,1,0,0.5,0.0,533.0,0.0,1.38,0.0,2753,2178,0.5583,0.0,0.4417,0.0,left,0.5583
ibr,left,1,0,0.55,0.0,349.0,0.0,1.15,0.0,2960,276,0.9147,0.0,0.0853,0.0,left,0.9147
nash-p-hard,right,1,0,0.49,0.0,5192.0,0.0,1.3,0.0,47209,0,1.0,0.0,0.0,0.0,left,1.0
nash-p-minimax,right,1,0,0.51,0.0,4283.0,0.0,1.24,0.0,38963,0,1.0,0.0,0.0,0.0,left,1.0
nash-p-adaptive,right,1,0,0.42,0.0,508.0,0.0,1.36,0.0,2626,2081,0.5579,0.0,0.4421,0.0,left,0.5579
ibr,right,1,0,0.61,0.0,243.0,0.0,1.38,0.0,964,1321,0.4219,0.0,0.5781,0.0,right,0.5781
nash-p-hard,ibr,1,0,0.46,0.0,650.0,0.0,1.46,0.0,5996,0,1.0,0.0,0.0,0.0,left,1.0
ibr,nash-p-hard,1,0,0.6,0.0,439.0,0.0,1.42,0.0,3594,489,0.8802,0.0,0.1198,0.0,left,0.8802
nash-p-minimax,ibr,1,0,0.5,0.0,558.0,0.0,1.58,0.0,5181,0,1.0,0.0,0.0,0.0,left,1.0
ibr,nash-p-minimax,1,0,0.72,0.0,316.0,0.0,3.1,0.0,2339,814,0.7418,0.0,0.2582,0.0,left,0.7418
nash-p-adaptive,ibr,1,0,0.47,0.0,302.0,0.0,3.86,0.0,1846,1259,0.5945,0.0,0.4055,0.0,left,0.5945
ibr,nash-p-adaptive,1,0,0.65,0.0,380.0,0.0,3.12,0.0,2654,1076,0.7115,0.0,0.2885,0.0,left,0.7115
nash-p-hard,nash-p-minimax,1,0,0.48,0.0,447.0,0.0,1.25,0.0,4133,0,1.0,0.0,0.0,0.0,left,1.0
nash-p-hard,nash-p-adaptive,1,0,0.48,0.0,683.0,0.0,1.51,0.0,6297,0,1.0,0.0,0.0,0.0,left,1.0
