seed,matchup_seed,strategy1,strategy2,episodes,truncated_episodes,done_episodes,ego_wins,opp_wins,win_rate,win_rate_clean,avg_rally_length,avg_steps_per_episode,most_used_skill,dominant_fraction,usage_left,usage_right
0,0,nash-p-br,random,100,649,100,52,48,0.52,0.52,1.37,95.12,left,1.0,5981,0
0,1,nash-p-br,left,100,394,100,44,56,0.44,0.44,1.19,83.68,left,1.0,3638,0
0,2,nash-p-br,right,100,4718,100,48,52,0.48,0.48,1.29,90.82,left,1.0,42921,0
0,3,nash-p-hard,random,100,556,100,52,48,0.52,0.52,1.35,93.78,left,1.0,5137,0
0,4,nash-p-minimax,random,100,538,100,57,43,0.57,0.57,1.38,95.81,left,1.0,4982,0
0,5,nash-p-adaptive,random,100,391,100,64,36,0.64,0.64,3.2,219.96,left,0.5762,2213,1628
0,6,ibr,random,100,350,100,70,30,0.7,0.7,3.46,238.18,left,0.7119,2488,1007
0,7,nash-p-hard,left,100,404,100,64,36,0.64,0.64,1.16,81.62,left,1.0,3722,0
0,8,nash-p-minimax,left,100,373,100,56,44,0.56,0.56,1.22,85.68,left,1.0,3456,0
0,9,nash-p-adaptive,left,100,533,100,50,50,0.5,0.5,1.38,95.69,left,0.5583,2753,2178
0,10,ibr,left,100,349,100,55,45,0.55,0.55,1.15,81.2,left,0.9147,2960,276
0,11,nash-p-hard,right,100,5192,100,49,51,0.49,0.49,1.3,91.06,left,1.0,47209,0
0,12,nash-p-minimax,right,100,4283,100,51,49,0.51,0.51,1.24,86.96,left,1.0,38963,0
0,13,nash-p-adaptive,right,100,508,100,42,58,0.42,0.42,1.36,95.83,left,0.5579,2626,2081
0,14,ibr,right,100,243,100,61,39,0.61,0.61,1.38,96.48,right,0.5781,964,1321
0,15,nash-p-hard,ibr,100,650,100,46,54,0.46,0.46,1.46,101.59,left,1.0,5996,0
0,16,ibr,nash-p-hard,100,439,100,60,40,0.6,0.6,1.42,99.61,left,0.8802,3594,489
0,17,nash-p-minimax,ibr,100,558,100,50,50,0.5,0.5,1.58,109.43,left,1.0,5181,0
0,18,ibr,nash-p-minimax,100,316,100,72,28,0.72,0.72,3.1,212.58,left,0.7418,2339,814
0,19,nash-p-adaptive,ibr,100,302,100,47,53,0.47,0.47,3.86,265.22,left,0.5945,1846,1259
0,20,ibr,nash-p-adaptive,100,380,100,65,35,0.65,0.65,3.12,215.29,left,0.7115,2654,1076
0,21,nash-p-hard,nash-p-minimax,100,447,100,48,52,0.48,0.48,1.25,87.17,left,1.0,4133,0
0,22,nash-p-hard,nash-p-adaptive,100,683,100,48,52,0.48,0.48,1.51,103.61,left,1.0,6297,0
